COVID-19 Vaccinations in the United States
Date generated: Sun May 23 2021 12:45:13 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4261900,N/A,N/A,3465552,N/A,3419640,N/A,2054475,N/A,2020367,N/A,1426167,N/A,1414748,N/A,2312700,1764000,185200,0,107842,1502673,1854638,399,575207,746034,104926,0,575148,734700,104900,0,1321241,N/A,2020367,N/A,0,1309848,0,2054475,171994,0,123797,0,44140,75165,4492,0,305522,0,0,2052027,0,1426063,0,575185,745962,104916,0,3463009,0,0
Delaware,1181435,121327,153395,892929,91699,872346,113263,508973,52.3,495097,64.3,396604,40.7,391774,50.9,627315,491020,63100,0,38570,360455,493619,285,148207,210251,38010,136,148136,205519,37983,136,358594,52.3,495097,64.3,36.8,353791,45.9,508973,171041,90.5,147732,78.2,60424,79589,7632,87,319346,169050,625409,508844,60.6,396583,47.2,148205,210238,38004,136,892778,106308,140679
Florida,23218725,108106,134618,18046544,84024,17784261,103110,10180237,47.4,9987730,57.9,7985126,37.2,7918435,45.9,12124125,9474500,1620100,0,735172,7658209,9620153,33010,3206449,4043357,724612,10708,3205665,3977823,724246,10701,7260514,47.4,9987730,57.9,33.8,7194189,41.7,10180237,3916969,87.1,3311602,73.6,1653593,1496351,153720,7938,7513267,167060,516277,10173876,54.4,7984307,42.7,3205873,4043285,724441,10708,18039451,96488,124191
Federated States of Micronesia,77800,75065,96237,41022,39580,40997,50713,23704,22.9,23683,29.3,18434,17.8,18429,22.8,0,67600,10200,0,1135,39887,0,0,17268,34,1132,0,17264,34,1131,0,17302,22.9,23683,29.3,16.7,17298,21.4,23704,2034,11.5,1744,9.9,1589,5,150,0,3613,20506,441569,23697,26.8,18432,20.8,17267,34,1131,0,41014,46339,87901
Georgia,10533755,99212,129829,7306802,68819,7178839,88480,4093508,38.6,4001615,49.3,3236398,30.5,3200008,39.4,5509335,4442020,582400,0,186016,3274287,3845911,588,1418212,1635133,182715,338,1417854,1599342,182482,330,3053683,38.6,4001615,49.3,28.8,3017526,37.2,4093508,1191148,78.5,1020546,67.3,572878,424030,23470,168,2283427,150527,694402,4092093,45.5,3236217,36,1418175,1635072,182632,338,7305295,81277,117197
Guam,207370,125097,160380,154445,93169,149003,115239,86385,52.1,83000,64.2,69687,42,67630,52.3,122070,74200,11100,0,2435,59962,92048,0,24857,42388,2442,0,24851,40337,2442,0,67245,52.1,83000,64.2,40.6,65188,50.4,86385,14338,50.9,12681,45,5349,7152,180,0,27001,95813,735850,86377,61,69686,49.2,24856,42388,2442,0,154436,109094,146487
Hawaii,1767560,124839,158383,1536969,108553,1490758,133580,911567,64.4,874030,78.3,653864,46.2,644491,57.7,997620,689840,80100,0,30225,549877,863107,93760,231787,373495,30510,18072,231437,364589,30410,18055,623354,64.4,874030,78.3,44,614081,55,911567,261574,97.4,217402,81,90778,118002,7213,1409,472063,175849,658437,909383,75.1,653706,54,231745,373417,30483,18061,1535333,126771,145946
Iowa,3215445,101914,132419,2755687,87342,2697417,111086,1512053,47.9,1469720,60.5,1330456,42.2,1315083,54.2,1669785,1364660,181000,0,108403,1219773,1427389,122,576898,647159,106333,66,576798,631939,106280,66,1224123,47.9,1469720,60.5,38.8,1208803,49.8,1512053,481052,87,456092,82.5,244869,201668,9508,47,932958,168723,581503,1512016,56.5,1330445,49.7,576892,647156,106331,66,2755669,102966,120146
Idaho,1578235,88314,117879,1205957,67483,1205863,90066,655579,36.7,655262,48.9,567354,31.7,567267,42.4,812175,668060,98000,0,37984,531736,635567,670,239714,289566,37868,206,239705,289501,37856,205,529486,36.7,655262,48.9,29.6,529411,39.5,655579,228141,78.5,211786,72.9,99062,104758,7882,84,438211,150759,542965,655564,43.8,567343,37.9,239712,289564,37861,206,1205938,80643,105539
Indian Health Svc,1720385,82599,N/A,1342981,64479,1299585,N/A,754925,36.2,726589,N/A,602067,28.9,587059,N/A,732225,914360,73800,0,21933,744731,576317,0,325084,255215,21768,0,324887,240438,21734,0,580299,36.2,726589,N/A,27.9,565325,0,754925,147521,0,121217,0,69881,49012,2324,0,269437,0,0,754652,0,601952,0,325020,255176,21756,0,1342574,0,0
Illinois,13785635,108790,139900,11167219,88126,10852328,110132,6678706,52.7,6436005,65.3,4847686,38.3,4768083,48.4,7420335,5549300,816000,0,371618,4614549,6174007,7045,1904876,2568306,372137,2367,1901201,2494011,370516,2355,4475549,52.7,6436005,65.3,35.3,4397567,44.6,6678706,1778800,87.1,1424261,69.7,659764,707188,55941,1368,3157262,154523,674697,6671084,61.6,4847601,44.7,1904837,2568282,372115,2367,11159502,102968,127200
Indiana,6232460,92577,120685,4924441,73147,4827347,93476,2727465,40.5,2657721,51.5,2282947,33.9,2259720,43.8,3332940,2485820,413700,0,162589,2020588,2729882,11382,913402,1205438,160391,3716,913278,1182435,160294,3713,2122556,40.5,2657721,51.5,31.5,2099426,40.7,2727465,873469,80.4,821916,75.7,410802,389020,19893,2201,1705627,157093,574027,2727325,47.8,2282917,40,913394,1205429,160378,3716,4924299,86315,109245
Kansas,2932335,100653,132501,2257939,77504,2220019,100314,1328474,45.6,1298756,58.7,1083918,37.2,1071098,48.4,1474395,1290140,167800,0,69490,1023323,1164509,617,469997,544248,69466,207,469876,531603,69413,206,1014452,45.6,1298756,58.7,34.8,1001685,45.3,1328474,427338,89.9,361352,76,175869,172660,12708,115,758471,159515,616701,1328376,54.2,1083900,44.2,469990,544242,69461,207,2257833,92093,119604
Kentucky,4254525,95229,122793,3535226,79129,3472052,100209,2007363,44.9,1961320,56.6,1664330,37.3,1647348,47.5,2153385,1847040,254100,0,135101,1580661,1819078,386,708187,823487,132292,364,708089,806670,132226,363,1532038,44.9,1961320,56.6,34.3,1515122,43.7,2007363,624216,83.2,553298,73.7,252282,271086,29705,225,1133559,151028,566844,2007084,52.7,1664300,43.7,708180,823479,132277,364,3534236,92856,111780
Louisiana,3853090,82884,108197,3005269,64646,2972571,83472,1622351,34.9,1599942,44.9,1411085,30.4,1401072,39.3,1944150,1672640,236300,0,102452,1409606,1492175,1036,634331,678269,97966,519,634168,668499,97888,517,1313119,34.9,1599942,44.9,28.2,1303184,36.6,1622351,565415,76.3,529846,71.5,253944,258830,16963,109,1102232,148745,519970,1622245,41.3,1411055,36,634324,678262,97950,519,3005144,76597,98210
Massachusetts,8968160,130115,161889,7643514,110896,7409265,133748,4434625,64.3,4259032,76.9,3430364,49.8,3370518,60.8,4920240,3620320,427600,0,248857,3132716,4261806,135,1324078,1855887,250365,34,1321784,1799155,249547,32,3179999,64.3,4259032,76.9,46.1,3120971,56.3,4434625,1099348,94,959812,82.1,436505,464189,59103,15,1999963,171035,766947,4429379,73.6,3430341,57,1324072,1855875,250360,34,7638274,126950,149053
Maryland,7603410,125766,161397,5808759,96081,5638851,119696,3326608,55,3200461,67.9,2706687,44.8,2664122,56.6,4173390,3002020,428000,0,224682,2377090,3202605,4382,1061307,1426135,217969,1276,1061119,1383864,217870,1269,2488718,55,3200461,67.9,41.2,2446252,51.9,3326608,840159,87.6,764614,79.7,373813,346199,44135,467,1549728,161532,792521,3326368,64.4,2706629,52.4,1061283,1426119,217951,1276,5808530,112505,147271
Maine,1732380,128877,158155,1422735,105842,1387185,126641,824404,61.3,797142,72.8,696581,51.8,688335,62.8,885300,748680,98400,0,91417,615008,716055,255,276537,328878,91096,70,276502,320706,91062,65,605485,61.3,797142,72.8,45,597273,54.5,824404,265022,92.9,248123,87,112964,115204,19936,19,491412,172265,607288,824333,69.6,696558,58.8,276534,328875,91079,70,1422657,120062,146200
Marshall Islands,51300,87823,112594,29605,50682,29538,64830,15995,27.4,15947,35,13704,23.5,13683,30,0,40500,10800,0,126,29479,0,0,13569,6,129,0,13549,5,129,0,13575,27.4,15947,35,23.2,13554,29.7,15995,965,9.7,825,8.3,816,0,9,0,1781,17936,516616,15979,32,13697,27.5,13562,6,129,0,29582,59302,102839
Michigan,10950450,109649,139622,8384059,83951,8181277,104314,4726417,47.3,4579630,58.4,4029544,40.3,3971965,50.6,5742750,4579400,628300,0,279941,3525791,4577026,1301,1622977,2121053,284932,582,1622628,2063966,284792,579,3744612,47.3,4579630,58.4,37.5,3687173,47,4726417,1452767,82.3,1348909,76.4,676289,618267,53961,392,2721627,154165,620281,4726208,55,4029498,46.9,1622959,2121038,284920,581,8383828,97543,127405
Minnesota,6075430,107727,140101,5209667,92376,5054899,116567,2976790,52.8,2864492,66.1,2476452,43.9,2433833,56.1,3313050,2451880,310500,0,227199,2124198,2857959,311,958962,1288220,229172,98,958049,1246755,228933,96,2247280,52.8,2864492,66.1,39.8,2204900,50.8,2976790,824931,89.6,762383,82.8,321961,398921,41473,28,1532206,166475,660099,2972629,62.2,2476408,51.8,958953,1288203,229154,98,5205440,108944,127152
Missouri,5813565,94723,121958,4556699,74244,4472450,93824,2525528,41.1,2466494,51.7,2048498,33.4,2027727,42.5,3126825,2383240,303500,0,141528,1781195,2633600,376,783787,1122617,142031,63,783604,1102155,141907,61,1906467,41.1,2466494,51.7,31.1,1885820,39.6,2525528,829626,78.1,729775,68.7,333827,367793,28127,28,1570735,147898,547398,2525276,48.2,2048471,39.1,783778,1122610,142020,63,4556428,87026,111037
Northern Mariana Islands,72330,127158,163023,46271,81346,44813,101003,24970,43.9,23986,54.1,21514,37.8,21040,47.4,49530,20200,2600,0,198,6362,39711,0,2719,18592,203,0,2719,18118,203,0,21311,43.9,23986,54.1,37.5,20837,47,24970,2574,26.6,2409,24.9,376,1983,50,0,4934,51024,747983,24970,51.4,21514,44.3,2719,18592,203,0,46271,95255,148901
Mississippi,2571575,86406,112909,1728662,58084,1714638,75284,987702,33.2,977788,42.9,787935,26.5,783629,34.4,1273155,1137220,161200,0,49477,822002,856294,889,365442,373970,48494,29,365334,369811,48455,29,739441,33.2,977788,42.9,24.8,735174,32.3,987702,361269,74.2,313255,64.4,166366,133835,13044,10,656476,134885,528377,987636,39.2,787918,31.2,365438,373964,48487,29,1728592,68556,101989
Montana,1068745,99997,127203,846217,79176,830059,98794,471950,44.2,460416,54.8,397967,37.2,393422,46.8,527085,472960,68700,0,28864,392973,424117,263,178967,190713,28210,77,178897,186253,28195,77,369757,44.2,460416,54.8,34.6,365227,43.5,471950,165385,80.1,150464,72.9,72967,71003,6451,43,308870,149619,517710,471884,51.4,397950,43.4,178954,190712,28207,77,846129,92211,116472
North Carolina,11092210,105760,135480,7937262,75679,7764156,94831,4438842,42.3,4317652,52.7,3674663,35,3622772,44.2,5910450,4560160,621600,0,264897,3259252,4412784,329,1431768,1980977,261883,35,1429857,1931941,260939,35,3412780,42.3,4317652,52.7,32.5,3361833,41.1,4438842,1374989,78.5,1235618,70.6,580293,626562,28738,25,2630128,150199,633445,4435190,49.4,3674060,40.9,1431686,1980472,261867,35,7933024,88287,123445
North Dakota,676250,88739,116216,602639,79080,592144,101762,315058,41.3,308740,53.1,272862,35.8,269681,46.3,337350,303400,35500,0,24499,262796,315344,0,115319,135831,21711,1,115181,132871,21628,1,251151,41.3,308740,53.1,33,248053,42.6,315058,98483,82.2,87179,72.7,43166,40904,3109,0,190784,159192,564271,314854,49.4,272853,42.8,115315,135828,21709,1,602405,94533,106121
Nebraska,1971150,101899,135165,1650062,85301,1612646,110581,910797,47.1,884379,60.6,791775,40.9,780581,53.5,1073670,792880,104600,0,59216,674012,913907,2927,309476,421951,59503,845,309396,410877,59466,842,732272,47.1,884379,60.6,37.9,721115,49.4,910797,268255,85.9,249315,79.8,120795,123352,4570,598,521151,166791,630853,910619,56.3,791732,49,309460,421937,59490,845,1649840,102005,121871
New Hampshire,1644425,120939,148890,1335848,98245,1313723,118947,869618,64,851517,77.1,556922,41,554137,50.2,854685,678040,111700,0,59525,551410,724873,40,217939,278835,60128,20,217779,276236,60102,20,496794,64,851517,77.1,36.5,494035,44.7,869618,252102,99.3,207091,81.6,90130,104103,12844,14,432250,170268,647758,869259,72.5,556786,46.5,217854,278790,60122,20,1335351,111412,137199
New Jersey,10712655,120608,154281,8724828,98228,8501925,122442,5157479,58.1,4992866,71.9,4135717,46.6,4075382,58.7,5716035,4407520,589100,0,335421,3705457,4683475,475,1639172,2158488,338022,35,1638923,2098550,337879,30,3797695,58.1,4992866,71.9,42.8,3737503,53.8,5157479,1315700,89.2,1156372,78.4,543660,538216,74481,15,2350586,159304,726018,5156951,67.7,4135649,54.3,1639159,2158476,337979,35,8724301,114517,140616
New Mexico,2224285,106079,137218,2065425,98502,2011182,124071,1167850,55.7,1128292,69.6,958928,45.7,941035,58.1,1120665,967620,136000,0,58750,919384,1084531,2760,398536,501918,57672,802,398296,484359,57580,800,901256,55.7,1128292,69.6,43,883455,54.5,1167850,337904,89.5,297314,78.7,135905,146290,14652,467,616765,163336,589049,1167729,65.3,958896,53.6,398522,501907,57665,802,2065292,115545,124440
Nevada,2812740,91318,117810,2413573,78359,2370822,99301,1354773,44,1325062,55.5,1082900,35.2,1071670,44.9,1490580,1147760,174400,0,95818,999956,1317799,0,435905,552891,94098,6,435845,541750,94069,6,988802,44,1325062,55.5,32.1,977601,40.9,1354773,392587,79.2,343432,69.2,164737,160852,17839,4,737420,148682,567117,1354737,51.7,1082893,41.3,435902,552889,94096,6,2413539,92056,107283
New York State,22118775,113700,143393,18712921,96193,18311668,118712,10426932,53.6,10135234,65.7,8679824,44.6,8568399,55.5,11678355,9233020,1207400,0,752467,7804152,10152495,3807,3461187,4491210,726650,777,3460473,4380902,726265,759,7953174,53.6,10135234,65.7,40.9,7842134,50.8,10426932,2714679,82.4,2420117,73.4,1167589,1112964,139142,422,5049112,153182,671050,10425956,62.2,8679506,51.7,3461074,4491109,726560,763,18711743,111557,131870
Ohio,11732115,100368,128768,9582354,81977,9376855,102917,5189607,44.4,5048367,55.4,4540497,38.8,4478970,49.2,6180915,4918200,633000,0,366710,4049070,5156720,9854,1829872,2354040,353622,2963,1829645,2292880,353495,2950,4186875,44.4,5048367,55.4,35.8,4125475,45.3,5189607,1666487,81.4,1558469,76.2,712748,775022,69030,1669,3216368,157178,573327,5189439,51.9,4540464,45.4,1829863,2354029,353609,2963,9582188,95815,117313
Oklahoma,3894555,98423,129614,2902594,73354,2856408,95064,1615092,40.8,1584088,52.7,1306759,33,1292294,43,1983735,1694020,216800,0,81562,1355820,1465169,43,591194,635186,80355,24,591040,620919,80311,24,1226404,40.8,1584088,52.7,31,1211983,40.3,1615092,516518,81.3,441524,69.5,233249,193896,14371,8,953802,150174,613188,1614967,48.6,1306730,39.3,591182,635177,80347,24,2902443,87286,117122
Oregon,4927655,116832,147043,3820887,90591,3717005,110916,2215447,52.5,2133904,63.7,1753699,41.6,1730391,51.6,2551575,2082380,293700,0,132947,1581138,2104735,2067,698901,922126,132287,385,697596,900589,131827,379,1621412,52.5,2133904,63.7,38.4,1598564,47.7,2215447,638726,83.4,586503,76.6,267481,280324,38504,194,1180179,154054,643230,2212599,60.7,1753689,48.1,698899,922119,132286,385,3818006,104667,135087
Pennsylvania,14630805,114285,143900,12070286,94284,11828204,116335,7228573,56.5,7040370,69.2,5290521,41.3,5236902,51.5,7392645,6212960,1025200,0,445182,5129432,6495359,313,2105961,2734654,449657,249,2105116,2682109,449434,243,4840864,56.5,7040370,69.2,37.8,4787468,47.1,7228573,2329173,97.3,1822425,76.1,858641,901296,62351,137,4107850,171635,611308,7227197,65.2,5290153,47.7,2105852,2734428,449624,249,12068578,108907,132029
Puerto Rico,3805910,119170,145210,2461821,77084,2407352,91850,1502362,47,1458561,55.6,1060100,33.2,1047809,40,1969890,1646020,190000,0,78090,1006067,1377379,285,394760,587036,78284,20,394660,574944,78185,20,981816,47,1458561,55.6,30.7,969624,37,1502362,422736,77.9,348367,64.2,162740,172734,12890,3,754599,138987,700997,1501864,55.1,1060013,38.9,394746,586997,78250,20,2461270,90244,139546
Rhode Island,1441235,136048,168592,1115126,105264,1085629,126994,622575,58.8,600934,70.3,522443,49.3,515128,60.3,799695,580240,61300,0,42142,456165,616787,32,205573,274819,42042,9,205545,267549,42025,9,480401,58.8,600934,70.3,45.3,473103,55.3,622575,174408,93.2,162394,86.8,74566,82483,5342,3,332902,177979,770524,622518,67.1,522436,56.3,205569,274817,42041,9,1115067,120224,155391
Republic of Palau,24600,137376,176129,22440,125314,22440,160664,12986,72.5,12985,93,10946,61.1,10946,78.4,0,20800,3800,0,1305,21134,1,0,9621,20,1305,0,9621,20,1305,0,9641,72.5,12985,93,53.8,9641,69,12986,1610,52.9,1545,50.8,1386,8,151,0,2962,97306,808147,12986,84.9,10946,71.6,9621,20,1305,0,22440,146743,160868
South Carolina,4975315,96632,123227,3663402,71152,3605462,89299,2048466,39.8,2007812,49.7,1679297,32.6,1661633,41.2,2570295,2102120,302900,0,119293,1498712,2044336,1061,642582,919922,116583,210,641635,903499,116289,210,1562714,39.8,2007812,49.7,30.4,1545344,38.3,2048466,767458,81.9,665955,71.1,280619,364006,21186,144,1416094,151127,530970,2046452,46.3,1678808,38,642512,919525,116561,210,3660896,82826,112564
South Dakota,931135,105254,139484,764345,86400,749785,112318,419122,47.4,408910,61.3,370054,41.8,365676,54.8,453375,420160,57600,0,21878,346399,396055,13,164138,183819,22086,11,164100,179487,22078,11,347968,47.4,408910,61.3,39.3,343598,51.5,419122,136785,90.1,127257,83.8,65868,58169,3215,5,257344,169449,613109,419104,56.8,370051,50.1,164137,183817,22086,11,764325,103553,126153
Tennessee,5960840,87285,112064,4709229,68958,4640498,87242,2606937,38.2,2558031,48.1,2099426,30.7,2080497,39.1,3121560,2480280,359000,0,133278,1992040,2575914,7997,860828,1106406,129842,2350,860607,1087837,129709,2344,1969584,38.2,2558031,48.1,28.8,1950788,36.7,2606937,871731,76.2,762460,66.7,386335,351086,23560,1479,1662508,145401,521329,2606524,44.7,2099344,36,860814,1106371,129809,2350,4708741,80690,102147
Texas,29660595,102292,137343,22041180,76015,21501431,99562,12332445,42.5,12037700,55.7,9812817,33.8,9567069,44.3,15778815,12066880,1814900,0,809435,9443885,11787055,805,4056538,4963826,791802,651,3954947,4839514,771972,635,9023685,42.5,12037700,55.7,31.1,8890135,41.2,12332445,3031315,81.2,2607266,69.8,1077822,1318889,210382,173,5625896,150657,794290,12328746,51.2,9810855,40.7,4055727,4962833,791644,651,22036840,91435,123067
